9,A9,FALSE,1d Condition A Rep 1,Target1,UNKNOWN,SYBR,None,1.036,0.915,1.173,29.418,29.48,0.173,,10.544,0.179,-0.051,TRUE,0.093,TRUE,3,25,,,1.22,N,74.011,,,N
10,A10,FALSE,1d Condition A Rep 2,Target1,UNKNOWN,SYBR,None,1.087,0.565,2.089,29.519,29.548,0.199,,10.476,0.943,-0.12,TRUE,0.093,TRUE,3,25,,,1.215,N,73.883,,,N
11,A11,FALSE,1d Condition A Rep 2,Target1,UNKNOWN,SYBR,None,1.087,0.565,2.089,29.759,29.548,0.199,,10.476,0.943,-0.12,TRUE,0.093,TRUE,3,25,,,1.23,N,73.883,,,N
12,A12,FALSE,1d Condition A Rep 2,Target1,UNKNOWN,SYBR,None,1.087,0.565,2.089,29.365,29.548,0.199,,10.476,0.943,-0.12,TRUE,0.093,TRUE,3,25,,,1.225,N,74.139,,,N
13,A13,FALSE,1d Condition B Rep 1,Target1,UNKNOWN,SYBR,None,4.571,3.88,5.385,26.823,27.013,0.17,,8.403,0.236,-2.192,TRUE,0.093,TRUE,3,22,,,1.213,N,74.011,,,N
14,A14,FALSE,1d Condition B Rep 1,Target1,UNKNOWN,SYBR,None,4.571,3.88,5.385,27.065,27.013,0.17,,8.403,0.236,-2.192,TRUE,0.093,TRUE,3,23,,,1.23,N,74.011,,,N
15,A15,FALSE,1d Condition B Rep 1,Target1,UNKNOWN,SYBR,None,4.571,3.88,5.385,27.151,27.013,0.17,,8.403,0.236,-2.192,TRUE,0.093,TRUE,3,23,,,1.229,N,74.011,,,N
16,A16,FALSE,1d Condition B Rep 2,Target1,UNKNOWN,SYBR,None,5.327,3.576,7.936,26.831,26.928,0.56,,8.182,0.575,-2.413,TRUE,0.093,TRUE,3,22,,,1.234,Y,74.011,,,N
17,A17,FALSE,1d Condition B Rep 2,Target1,UNKNOWN,SYBR,None,5.327,3.576,7.936,27.53,26.928,0.56,,8.182,0.575,-2.413,TRUE,0.093,TRUE,3,23,,,1.208,Y,73.626,,,N
18,A18,FALSE,1d Condition B Rep 2,Target1,UNKNOWN,SYBR,None,5.327,3.576,7.936,26.422,26.928,0.56,,8.182,0.575,-2.413,TRUE,0.093,TRUE,3,22,,,1.236,Y,74.396,,,N
19,A19,FALSE,2d Condition A Rep 1,Target1,UNKNOWN,SYBR,None,10.855,6.956,16.939,25.864,25.956,0.09,,7.155,0.642,-3.44,TRUE,0.093,TRUE,3,22,,,1.216,N,74.011,,,N
20,A20,FALSE,2d Condition A Rep 1,Target1,UNKNOWN,SYBR,None,10.855,6.956,16.939,26.044,25.956,0.09,,7.155,0.642,-3.44,TRUE,0.093,TRUE,3,22,,,1.227,N,73.883,,,N
21,A21,FALSE,2d Condition A Rep 1,Target1,UNKNOWN,SYBR,None,10.855,6.956,16.939,25.96,25.956,0.09,,7.155,0.642,-3.44,TRUE,0.093,TRUE,3,21,,,1.228,N,73.883,,,N
22,A22,FALSE,2d Condition A Rep 2,Target1,UNKNOWN,SYBR,None,8.928,7.251,10.992,26.107,26.001,0.134,,7.437,0.3,-3.158,TRUE,0.093,TRUE,3,22,,,1.224,N,73.883,,,N
23,A23,FALSE,2d Condition A Rep 2,Target1,UNKNOWN,SYBR,None,8.928,7.251,10.992,26.045,26.001,0.134,,7.437,0.3,-3.158,TRUE,0.093,TRUE,3,22,,,1.222,N,73.754,,,N
24,A24,FALSE,2d Condition A Rep 2,Target1,UNKNOWN,SYBR,None,8.928,7.251,10.992,25.851,26.001,0.134,,7.437,0.3,-3.158,TRUE,0.093,TRUE,3,21,,,1.216,N,73.883,,,N
25,B1,FALSE,D0 Untreated Rep 1,Target2,UNKNOWN,SYBR,None,1,0.547,1.827,36.565,37.049,0.868,,18.577,0.869,0,TRUE,0.111,TRUE,3,32,,,1.108,Y,69.394,,,N
26,B2,FALSE,D0 Untreated Rep 1,Target2,UNKNOWN,SYBR,None,1,0.547,1.827,38.051,37.049,0.868,,18.577,0.869,0,TRUE,0.111,TRUE,3,33,,,0.982,Y,68.881,,,Y
27,B3,FALSE,D0 Untreated Rep 1,Target2,UNKNOWN,SYBR,None,1,0.547,1.827,36.531,37.049,0.868,,18.577,0.869,0,TRUE,0.111,TRUE,3,31,,,1.12,Y,69.522,,,N
28,B4,FALSE,D0 Untreated Rep 2,Target2,UNKNOWN,SYBR,None,1.56,1.127,2.159,37.051,36.536,0.468,,17.935,0.469,-0.642,TRUE,0.111,TRUE,3,32,,,1.09,N,69.266,,,N
29,B5,FALSE,D0 Untreated Rep 2,Target2,UNKNOWN,SYBR,None,1.56,1.127,2.159,36.137,36.536,0.468,,17.935,0.469,-0.642,TRUE,0.111,TRUE,3,31,,,1.145,N,69.651,,,N
30,B6,FALSE,D0 Untreated Rep 2,Target2,UNKNOWN,SYBR,None,1.56,1.127,2.159,36.419,36.536,0.468,,17.935,0.469,-0.642,TRUE,0.111,TRUE,3,31,,,1.129,N,69.779,,,N
31,B7,FALSE,1d Condition A Rep 1,Target2,UNKNOWN,SYBR,None,15.225,4.189,55.33,35.537,33.584,1.861,,14.648,1.862,-3.928,TRUE,0.111,TRUE,3,30,,,1.19,Y,69.394,,,N
32,B8,FALSE,1d Condition A Rep 1,Target2,UNKNOWN,SYBR,None,15.225,4.189,55.33,31.831,33.584,1.861,,14.648,1.862,-3.928,TRUE,0.111,TRUE,3,27,,,1.358,Y,70.163,,,N
33,B9,FALSE,1d Condition A Rep 1,Target2,UNKNOWN,SYBR,None,15.225,4.189,55.33,33.384,33.584,1.861,,14.648,1.862,-3.928,TRUE,0.111,TRUE,3,28,,,1.317,Y,69.907,,,N
34,B10,FALSE,1d Condition A Rep 2,Target2,UNKNOWN,SYBR,None,34.761,18.082,66.823,32.436,32.529,0.198,,13.457,0.943,-5.119,TRUE,0.111,TRUE,3,27,,,1.328,N,69.907,,,N
35,B11,FALSE,1d Condition A Rep 2,Target2,UNKNOWN,SYBR,None,34.761,18.082,66.823,32.395,32.529,0.198,,13.457,0.943,-5.119,TRUE,0.111,TRUE,3,27,,,1.333,N,69.907,,,N
36,B12,FALSE,1d Condition A Rep 2,Target2,UNKNOWN,SYBR,None,34.761,18.082,66.823,32.757,32.529,0.198,,13.457,0.943,-5.119,TRUE,0.111,TRUE,3,28,,,1.326,N,69.907,,,N
37,B13,FALSE,1d Condition B Rep 1,Target2,UNKNOWN,SYBR,None,3.651,3.035,4.393,35.56,35.318,0.21,,16.708,0.267,-1.868,TRUE,0.111,TRUE,3,30,,,1.216,N,70.035,,,N
38,B14,FALSE,1d Condition B Rep 1,Target2,UNKNOWN,SYBR,None,3.651,3.035,4.393,35.216,35.318,0.21,,16.708,0.267,-1.868,TRUE,0.111,TRUE,3,30,,,1.246,N,70.035,,,N
39,B15,FALSE,1d Condition B Rep 1,Target2,UNKNOWN,SYBR,None,3.651,3.035,4.393,35.179,35.318,0.21,,16.708,0.267,-1.868,TRUE,0.111,TRUE,3,30,,,1.237,N,69.907,,,N
40,B16,FALSE,1d Condition B Rep 2,Target2,UNKNOWN,SYBR,None,5.43,4.595,6.417,34.878,34.881,0.203,,16.136,0.241,-2.441,TRUE,0.111,TRUE,3,30,,,1.252,N,69.907,,,N
41,B17,FALSE,1d Condition B Rep 2,Target2,UNKNOWN,SYBR,None,5.43,4.595,6.417,35.086,34.881,0.203,,16.136,0.241,-2.441,TRUE,0.111,TRUE,3,30,,,1.25,N,70.035,,,N
42,B18,FALSE,1d Condition B Rep 2,Target2,UNKNOWN,SYBR,None,5.43,4.595,6.417,34.68,34.881,0.203,,16.136,0.241,-2.441,TRUE,0.111,TRUE,3,30,,,1.26,N,69.907,,,N
43,B19,FALSE,2d Condition A Rep 1,Target2,UNKNOWN,SYBR,None,89.679,57.213,140.57,30.982,30.891,0.128,,12.09,0.648,-6.487,TRUE,0.111,TRUE,3,26,,,1.349,N,69.779,,,N
44,B20,FALSE,2d Condition A Rep 1,Target2,UNKNOWN,SYBR,None,89.679,57.213,140.57,30.744,30.891,0.128,,12.09,0.648,-6.487,TRUE,0.111,TRUE,3,26,,,1.355,N,69.779,,,N
45,B21,FALSE,2d Condition A Rep 1,Target2,UNKNOWN,SYBR,None,89.679,57.213,140.57,30.946,30.891,0.128,,12.09,0.648,-6.487,TRUE,0.111,TRUE,3,26,,,1.342,N,69.779,,,N
46,B22,FALSE,2d Condition A Rep 2,Target2,UNKNOWN,SYBR,None,61.366,50.847,74.061,31.197,31.201,0.038,,12.637,0.271,-5.939,TRUE,0.111,TRUE,3,26,,,1.341,N,69.779,,,N
47,B23,FALSE,2d Condition A Rep 2,Target2,UNKNOWN,SYBR,None,61.366,50.847,74.061,31.241,31.201,0.038,,12.637,0.271,-5.939,TRUE,0.111,TRUE,3,26,,,1.335,N,69.651,,,N
48,B24,FALSE,2d Condition A Rep 2,Target2,UNKNOWN,SYBR,None,61.366,50.847,74.061,31.166,31.201,0.038,,12.637,0.271,-5.939,TRUE,0.111,TRUE,3,26,,,1.332,N,69.651,,,N
49,C1,FALSE,D0 Untreated Rep 1,Target3,UNKNOWN,SYBR,None,1,0.908,1.102,30.726,30.834,0.131,,12.362,0.14,0,TRUE,0.249,TRUE,3,25,,,1.388,N,78.756,,,N
